date,year,region,age_group,synthetic_cases,annual_region_age_cases
2024-02-05,2024,East Midlands,15_to_24,0.5263157894736842,22.0
2024-02-12,2024,East Midlands,15_to_24,0.5338345864661654,22.0
2024-02-19,2024,East Midlands,15_to_24,0.43609022556390975,22.0
2024-02-26,2024,East Midlands,15_to_24,0.5864661654135338,22.0
2024-03-04,2024,East Midlands,15_to_24,0.43609022556390975,22.0
2024-03-11,2024,East Midlands,15_to_24,0.6616541353383458,22.0
2024-03-18,2024,East Midlands,15_to_24,0.5789473684210527,22.0
2024-03-25,2024,East Midlands,15_to_24,0.5413533834586466,22.0
2024-04-01,2024,East Midlands,15_to_24,0.6766917293233082,22.0
2024-04-08,2024,East Midlands,15_to_24,0.7969924812030075,22.0
2024-04-15,2024,East Midlands,15_to_24,0.631578947368421,22.0
2024-04-22,2024,East Midlands,15_to_24,0.6165413533834586,22.0
2024-04-29,2024,East Midlands,15_to_24,0.6090225563909775,22.0
2024-05-06,2024,East Midlands,15_to_24,0.6541353383458647,22.0
2024-05-13,2024,East Midlands,15_to_24,0.7819548872180451,22.0
2024-05-20,2024,East Midlands,15_to_24,0.7293233082706767,22.0
2024-05-27,2024,East Midlands,15_to_24,0.5338345864661654,22.0
2024-06-03,2024,East Midlands,15_to_24,0.5789473684210527,22.0
2024-06-10,2024,East Midlands,15_to_24,0.43609022556390975,22.0
2024-06-17,2024,East Midlands,15_to_24,0.6015037593984962,22.0
2024-06-24,2024,East Midlands,15_to_24,0.5488721804511278,22.0
2024-07-01,2024,East Midlands,15_to_24,0.5789473684210527,22.0
2024-07-08,2024,East Midlands,15_to_24,0.6541353383458647,22.0
2024-07-15,2024,East Midlands,15_to_24,0.631578947368421,22.0
2024-07-22,2024,East Midlands,15_to_24,0.45112781954887216,22.0
2024-07-29,2024,East Midlands,15_to_24,0.5037593984962406,22.0
2024-08-05,2024,East Midlands,15_to_24,0.39097744360902253,22.0
2024-08-12,2024,East Midlands,15_to_24,0.3007518796992481,22.0
2024-08-19,2024,East Midlands,15_to_24,0.24060150375939848,22.0
2024-08-26,2024,East Midlands,15_to_24,0.17293233082706766,22.0
2024-09-02,2024,East Midlands,15_to_24,0.21052631578947367,22.0
2024-09-09,2024,East Midlands,15_to_24,0.17293233082706766,22.0
2024-09-16,2024,East Midlands,15_to_24,0.17293233082706766,22.0
2024-09-23,2024,East Midlands,15_to_24,0.10526315789473684,22.0
2024-09-30,2024,East Midlands,15_to_24,0.12781954887218044,22.0
2024-10-07,2024,East Midlands,15_to_24,0.10526315789473684,22.0
2024-10-14,2024,East Midlands,15_to_24,0.09022556390977443,22.0
2024-10-21,2024,East Midlands,15_to_24,0.20300751879699247,22.0
2024-10-28,2024,East Midlands,15_to_24,0.13533834586466165,22.0
2024-11-04,2024,East Midlands,15_to_24,0.2556390977443609,22.0
2024-11-11,2024,East Midlands,15_to_24,0.21052631578947367,22.0
2024-11-18,2024,East Midlands,15_to_24,0.21804511278195488,22.0
2024-11-25,2024,East Midlands,15_to_24,0.21804511278195488,22.0
2024-12-02,2024,East Midlands,15_to_24,0.24812030075187969,22.0
2024-12-09,2024,East Midlands,15_to_24,0.19548872180451127,22.0
2024-12-16,2024,East Midlands,15_to_24,0.16541353383458646,22.0
2024-12-23,2024,East Midlands,15_to_24,0.12030075187969924,22.0
2024-12-30,2024,East Midlands,15_to_24,0.16541353383458646,22.0
2024-01-01,2024,East Midlands,1_to_4,1.4415584415584415,57.0
2024-01-08,2024,East Midlands,1_to_4,1.2662337662337662,57.0
2024-01-15,2024,East Midlands,1_to_4,1.0324675324675325,57.0
2024-01-22,2024,East Midlands,1_to_4,1.2662337662337662,57.0
2024-01-29,2024,East Midlands,1_to_4,1.3636363636363635,57.0
2024-02-05,2024,East Midlands,1_to_4,1.3636363636363635,57.0
2024-02-12,2024,East Midlands,1_to_4,1.3831168831168832,57.0
2024-02-19,2024,East Midlands,1_to_4,1.12987012987013,57.0
2024-02-26,2024,East Midlands,1_to_4,1.5194805194805194,57.0
2024-03-04,2024,East Midlands,1_to_4,1.12987012987013,57.0
2024-03-11,2024,East Midlands,1_to_4,1.7142857142857142,57.0
2024-03-18,2024,East Midlands,1_to_4,1.5,57.0
2024-03-25,2024,East Midlands,1_to_4,1.4025974025974026,57.0
2024-04-01,2024,East Midlands,1_to_4,1.7532467532467533,57.0
2024-04-08,2024,East Midlands,1_to_4,2.064935064935065,57.0
2024-04-15,2024,East Midlands,1_to_4,1.6363636363636365,57.0
2024-04-22,2024,East Midlands,1_to_4,1.5974025974025974,57.0
2024-04-29,2024,East Midlands,1_to_4,1.577922077922078,57.0
2024-05-06,2024,East Midlands,1_to_4,1.6948051948051948,57.0
2024-05-13,2024,East Midlands,1_to_4,2.0259740259740258,57.0
2024-05-20,2024,East Midlands,1_to_4,1.8896103896103895,57.0
2024-05-27,2024,East Midlands,1_to_4,1.3831168831168832,57.0
2024-06-03,2024,East Midlands,1_to_4,1.5,57.0
2024-06-10,2024,East Midlands,1_to_4,1.12987012987013,57.0
2024-06-17,2024,East Midlands,1_to_4,1.5584415584415585,57.0
2024-06-24,2024,East Midlands,1_to_4,1.422077922077922,57.0
2024-07-01,2024,East Midlands,1_to_4,1.5,57.0
2024-07-08,2024,East Midlands,1_to_4,1.6948051948051948,57.0
2024-07-15,2024,East Midlands,1_to_4,1.6363636363636365,57.0
2024-07-22,2024,East Midlands,1_to_4,1.1688311688311688,57.0
2024-07-29,2024,East Midlands,1_to_4,1.3051948051948052,57.0
2024-08-05,2024,East Midlands,1_to_4,1.0129870129870129,57.0
2024-08-12,2024,East Midlands,1_to_4,0.7792207792207793,57.0
2024-08-19,2024,East Midlands,1_to_4,0.6233766233766234,57.0
2024-08-26,2024,East Midlands,1_to_4,0.44805194805194803,57.0
2024-09-02,2024,East Midlands,1_to_4,0.5454545454545454,57.0
2024-09-09,2024,East Midlands,1_to_4,0.44805194805194803,57.0
2024-09-16,2024,East Midlands,1_to_4,0.44805194805194803,57.0
2024-09-23,2024,East Midlands,1_to_4,0.2727272727272727,57.0
2024-09-30,2024,East Midlands,1_to_4,0.33116883116883117,57.0
2024-10-07,2024,East Midlands,1_to_4,0.2727272727272727,57.0
2024-10-14,2024,East Midlands,1_to_4,0.23376623376623376,57.0
2024-10-21,2024,East Midlands,1_to_4,0.525974025974026,57.0
2024-10-28,2024,East Midlands,1_to_4,0.35064935064935066,57.0
2024-11-04,2024,East Midlands,1_to_4,0.6623376623376623,57.0
2024-11-11,2024,East Midlands,1_to_4,0.5454545454545454,57.0
2024-11-18,2024,East Midlands,1_to_4,0.564935064935065,57.0
2024-11-25,2024,East Midlands,1_to_4,0.564935064935065,57.0
2024-12-02,2024,East Midlands,1_to_4,0.6428571428571429,57.0
2024-12-09,2024,East Midlands,1_to_4,0.5064935064935064,57.0
2024-12-16,2024,East Midlands,1_to_4,0.42857142857142855,57.0
2024-12-23,2024,East Midlands,1_to_4,0.3116883116883117,57.0
2024-12-30,2024,East Midlands,1_to_4,0.42857142857142855,57.0
2024-01-01,2024,East Midlands,25_to_34,0.40464798359535203,16.0
2024-01-08,2024,East Midlands,25_to_34,0.35543403964456594,16.0
2024-01-15,2024,East Midlands,25_to_34,0.2898154477101845,16.0
2024-01-22,2024,East Midlands,25_to_34,0.35543403964456594,16.0
2024-01-29,2024,East Midlands,25_to_34,0.3827751196172249,16.0
2024-02-05,2024,East Midlands,25_to_34,0.3827751196172249,16.0
2024-02-12,2024,East Midlands,25_to_34,0.38824333561175667,16.0
2024-02-19,2024,East Midlands,25_to_34,0.31715652768284347,16.0
2024-02-26,2024,East Midlands,25_to_34,0.42652084757347913,16.0
2024-03-04,2024,East Midlands,25_to_34,0.31715652768284347,16.0
2024-03-11,2024,East Midlands,25_to_34,0.48120300751879697,16.0
2024-03-18,2024,East Midlands,25_to_34,0.42105263157894735,16.0
2024-03-25,2024,East Midlands,25_to_34,0.39371155160628846,16.0
2024-04-01,2024,East Midlands,25_to_34,0.49213943950786054,16.0
2024-04-08,2024,East Midlands,25_to_34,0.579630895420369,16.0
2024-04-15,2024,East Midlands,25_to_34,0.45933014354066987,16.0
2024-04-22,2024,East Midlands,25_to_34,0.4483937115516063,16.0
2024-04-29,2024,East Midlands,25_to_34,0.4429254955570745,16.0
2024-05-06,2024,East Midlands,25_to_34,0.47573479152426523,16.0
2024-05-13,2024,East Midlands,25_to_34,0.5686944634313056,16.0
2024-05-20,2024,East Midlands,25_to_34,0.530416951469583,16.0
2024-05-27,2024,East Midlands,25_to_34,0.38824333561175667,16.0
2024-06-03,2024,East Midlands,25_to_34,0.42105263157894735,16.0
2024-06-10,2024,East Midlands,25_to_34,0.31715652768284347,16.0
2024-06-17,2024,East Midlands,25_to_34,0.4374572795625427,16.0
2024-06-24,2024,East Midlands,25_to_34,0.39917976760082025,16.0
2024-07-01,2024,East Midlands,25_to_34,0.42105263157894735,16.0
2024-07-08,2024,East Midlands,25_to_34,0.47573479152426523,16.0
2024-07-15,2024,East Midlands,25_to_34,0.45933014354066987,16.0
2024-07-22,2024,East Midlands,25_to_34,0.32809295967190705,16.0
2024-07-29,2024,East Midlands,25_to_34,0.3663704716336295,16.0
2024-08-05,2024,East Midlands,25_to_34,0.2843472317156528,16.0
2024-08-12,2024,East Midlands,25_to_34,0.21872863978127136,16.0
2024-08-19,2024,East Midlands,25_to_34,0.1749829118250171,16.0
2024-08-26,2024,East Midlands,25_to_34,0.12576896787423103,16.0
2024-09-02,2024,East Midlands,25_to_34,0.15311004784688995,16.0
2024-09-09,2024,East Midlands,25_to_34,0.12576896787423103,16.0
2024-09-16,2024,East Midlands,25_to_34,0.12576896787423103,16.0
2024-09-23,2024,East Midlands,25_to_34,0.07655502392344497,16.0
2024-09-30,2024,East Midlands,25_to_34,0.09295967190704033,16.0
2024-10-07,2024,East Midlands,25_to_34,0.07655502392344497,16.0
2024-10-14,2024,East Midlands,25_to_34,0.06561859193438141,16.0
2024-10-21,2024,East Midlands,25_to_34,0.14764183185235816,16.0
2024-10-28,2024,East Midlands,25_to_34,0.09842788790157211,16.0
2024-11-04,2024,East Midlands,25_to_34,0.18591934381408065,16.0
2024-11-11,2024,East Midlands,25_to_34,0.15311004784688995,16.0
2024-11-18,2024,East Midlands,25_to_34,0.15857826384142173,16.0
2024-11-25,2024,East Midlands,25_to_34,0.15857826384142173,16.0
2024-12-02,2024,East Midlands,25_to_34,0.18045112781954886,16.0
2024-12-09,2024,East Midlands,25_to_34,0.1421736158578264,16.0
2024-12-16,2024,East Midlands,25_to_34,0.12030075187969924,16.0
2024-12-23,2024,East Midlands,25_to_34,0.08749145591250855,16.0
2024-12-30,2024,East Midlands,25_to_34,0.12030075187969924,16.0
2024-01-01,2024,East Midlands,35_and_over,0.3287764866712235,13.0
2024-01-08,2024,East Midlands,35_and_over,0.2887901572112098,13.0
2024-01-15,2024,East Midlands,35_and_over,0.23547505126452495,13.0
2024-01-22,2024,East Midlands,35_and_over,0.2887901572112098,13.0
2024-01-29,2024,East Midlands,35_and_over,0.31100478468899523,13.0
2024-02-05,2024,East Midlands,35_and_over,0.31100478468899523,13.0
2024-02-12,2024,East Midlands,35_and_over,0.3154477101845523,13.0
2024-02-19,2024,East Midlands,35_and_over,0.2576896787423103,13.0
2024-02-26,2024,East Midlands,35_and_over,0.3465481886534518,13.0
2024-03-04,2024,East Midlands,35_and_over,0.2576896787423103,13.0
2024-03-11,2024,East Midlands,35_and_over,0.39097744360902253,13.0
2024-03-18,2024,East Midlands,35_and_over,0.34210526315789475,13.0
2024-03-25,2024,East Midlands,35_and_over,0.3198906356801094,13.0
2024-04-01,2024,East Midlands,35_and_over,0.3998632946001367,13.0
2024-04-08,2024,East Midlands,35_and_over,0.4709501025290499,13.0
2024-04-15,2024,East Midlands,35_and_over,0.37320574162679426,13.0
2024-04-22,2024,East Midlands,35_and_over,0.3643198906356801,13.0
2024-04-29,2024,East Midlands,35_and_over,0.359876965140123,13.0
2024-05-06,2024,East Midlands,35_and_over,0.3865345181134655,13.0
2024-05-13,2024,East Midlands,35_and_over,0.46206425153793573,13.0
2024-05-20,2024,East Midlands,35_and_over,0.4309637730690362,13.0
2024-05-27,2024,East Midlands,35_and_over,0.3154477101845523,13.0
2024-06-03,2024,East Midlands,35_and_over,0.34210526315789475,13.0
2024-06-10,2024,East Midlands,35_and_over,0.2576896787423103,13.0
2024-06-17,2024,East Midlands,35_and_over,0.35543403964456594,13.0
2024-06-24,2024,East Midlands,35_and_over,0.3243335611756664,13.0
2024-07-01,2024,East Midlands,35_and_over,0.34210526315789475,13.0
2024-07-08,2024,East Midlands,35_and_over,0.3865345181134655,13.0
2024-07-15,2024,East Midlands,35_and_over,0.37320574162679426,13.0
2024-07-22,2024,East Midlands,35_and_over,0.26657552973342447,13.0
2024-07-29,2024,East Midlands,35_and_over,0.297676008202324,13.0
2024-08-05,2024,East Midlands,35_and_over,0.23103212576896787,13.0
2024-08-12,2024,East Midlands,35_and_over,0.17771701982228297,13.0
2024-08-19,2024,East Midlands,35_and_over,0.1421736158578264,13.0
2024-08-26,2024,East Midlands,35_and_over,0.10218728639781272,13.0
2024-09-02,2024,East Midlands,35_and_over,0.12440191387559808,13.0
2024-09-09,2024,East Midlands,35_and_over,0.10218728639781272,13.0
2024-09-16,2024,East Midlands,35_and_over,0.10218728639781272,13.0
2024-09-23,2024,East Midlands,35_and_over,0.06220095693779904,13.0
2024-09-30,2024,East Midlands,35_and_over,0.07552973342447027,13.0
2024-10-07,2024,East Midlands,35_and_over,0.06220095693779904,13.0
2024-10-14,2024,East Midlands,35_and_over,0.05331510594668489,13.0
2024-10-21,2024,East Midlands,35_and_over,0.11995898838004102,13.0
2024-10-28,2024,East Midlands,35_and_over,0.07997265892002735,13.0
2024-11-04,2024,East Midlands,35_and_over,0.15105946684894053,13.0
2024-11-11,2024,East Midlands,35_and_over,0.12440191387559808,13.0
2024-11-18,2024,East Midlands,35_and_over,0.12884483937115515,13.0
2024-11-25,2024,East Midlands,35_and_over,0.12884483937115515,13.0
2024-12-02,2024,East Midlands,35_and_over,0.14661654135338345,13.0
2024-12-09,2024,East Midlands,35_and_over,0.11551606288448393,13.0
2024-12-16,2024,East Midlands,35_and_over,0.09774436090225563,13.0
2024-12-23,2024,East Midlands,35_and_over,0.0710868079289132,13.0
2024-12-30,2024,East Midlands,35_and_over,0.09774436090225563,13.0
2024-01-01,2024,East Midlands,5_to_10,1.719753930280246,68.0
2024-01-08,2024,East Midlands,5_to_10,1.5105946684894054,68.0
2024-01-15,2024,East Midlands,5_to_10,1.2317156527682844,68.0
2024-01-22,2024,East Midlands,5_to_10,1.5105946684894054,68.0
2024-01-29,2024,East Midlands,5_to_10,1.6267942583732058,68.0
2024-02-05,2024,East Midlands,5_to_10,1.6267942583732058,68.0
2024-02-12,2024,East Midlands,5_to_10,1.6500341763499657,68.0
2024-02-19,2024,East Midlands,5_to_10,1.3479152426520848,68.0
2024-02-26,2024,East Midlands,5_to_10,1.8127136021872865,68.0
2024-03-04,2024,East Midlands,5_to_10,1.3479152426520848,68.0
2024-03-11,2024,East Midlands,5_to_10,2.045112781954887,68.0
2024-03-18,2024,East Midlands,5_to_10,1.7894736842105263,68.0
2024-03-25,2024,East Midlands,5_to_10,1.673274094326726,68.0
2024-04-01,2024,East Midlands,5_to_10,2.0915926179084074,68.0
2024-04-08,2024,East Midlands,5_to_10,2.463431305536569,68.0
2024-04-15,2024,East Midlands,5_to_10,1.9521531100478469,68.0
2024-04-22,2024,East Midlands,5_to_10,1.9056732740943267,68.0
2024-04-29,2024,East Midlands,5_to_10,1.8824333561175666,68.0
2024-05-06,2024,East Midlands,5_to_10,2.021872863978127,68.0
2024-05-13,2024,East Midlands,5_to_10,2.4169514695830485,68.0
2024-05-20,2024,East Midlands,5_to_10,2.2542720437457278,68.0
2024-05-27,2024,East Midlands,5_to_10,1.6500341763499657,68.0
2024-06-03,2024,East Midlands,5_to_10,1.7894736842105263,68.0
2024-06-10,2024,East Midlands,5_to_10,1.3479152426520848,68.0
2024-06-17,2024,East Midlands,5_to_10,1.8591934381408066,68.0
2024-06-24,2024,East Midlands,5_to_10,1.696514012303486,68.0
2024-07-01,2024,East Midlands,5_to_10,1.7894736842105263,68.0
2024-07-08,2024,East Midlands,5_to_10,2.021872863978127,68.0
2024-07-15,2024,East Midlands,5_to_10,1.9521531100478469,68.0
2024-07-22,2024,East Midlands,5_to_10,1.394395078605605,68.0
2024-07-29,2024,East Midlands,5_to_10,1.5570745044429255,68.0
2024-08-05,2024,East Midlands,5_to_10,1.2084757347915243,68.0
2024-08-12,2024,East Midlands,5_to_10,0.9295967190704033,68.0
2024-08-19,2024,East Midlands,5_to_10,0.7436773752563226,68.0
2024-08-26,2024,East Midlands,5_to_10,0.5345181134654818,68.0
2024-09-02,2024,East Midlands,5_to_10,0.6507177033492823,68.0
2024-09-09,2024,East Midlands,5_to_10,0.5345181134654818,68.0
2024-09-16,2024,East Midlands,5_to_10,0.5345181134654818,68.0
2024-09-23,2024,East Midlands,5_to_10,0.3253588516746411,68.0
2024-09-30,2024,East Midlands,5_to_10,0.3950786056049214,68.0
2024-10-07,2024,East Midlands,5_to_10,0.3253588516746411,68.0
2024-10-14,2024,East Midlands,5_to_10,0.278879015721121,68.0
2024-10-21,2024,East Midlands,5_to_10,0.6274777853725222,68.0
2024-10-28,2024,East Midlands,5_to_10,0.4183185235816815,68.0
2024-11-04,2024,East Midlands,5_to_10,0.7901572112098428,68.0
2024-11-11,2024,East Midlands,5_to_10,0.6507177033492823,68.0
2024-11-18,2024,East Midlands,5_to_10,0.6739576213260424,68.0
2024-11-25,2024,East Midlands,5_to_10,0.6739576213260424,68.0
2024-12-02,2024,East Midlands,5_to_10,0.7669172932330827,68.0
2024-12-09,2024,East Midlands,5_to_10,0.6042378673957621,68.0
2024-12-16,2024,East Midlands,5_to_10,0.5112781954887218,68.0
2024-12-23,2024,East Midlands,5_to_10,0.3718386876281613,68.0
2024-12-30,2024,East Midlands,5_to_10,0.5112781954887218,68.0
2024-01-01,2024,East Midlands,under_1,0.3287764866712235,13.0
2024-01-08,2024,East Midlands,under_1,0.2887901572112098,13.0
2024-01-15,2024,East Midlands,under_1,0.23547505126452495,13.0
2024-01-22,2024,East Midlands,under_1,0.2887901572112098,13.0
2024-01-29,2024,East Midlands,under_1,0.31100478468899523,13.0
2024-02-05,2024,East Midlands,under_1,0.31100478468899523,13.0
2024-02-12,2024,East Midlands,under_1,0.3154477101845523,13.0
2024-02-19,2024,East Midlands,under_1,0.2576896787423103,13.0
2024-02-26,2024,East Midlands,under_1,0.3465481886534518,13.0
2024-03-04,2024,East Midlands,under_1,0.2576896787423103,13.0
2024-03-11,2024,East Midlands,under_1,0.39097744360902253,13.0
2024-03-18,2024,East Midlands,under_1,0.34210526315789475,13.0
2024-03-25,2024,East Midlands,under_1,0.3198906356801094,13.0
2024-04-01,2024,East Midlands,under_1,0.3998632946001367,13.0
2024-04-08,2024,East Midlands,under_1,0.4709501025290499,13.0
2024-04-15,2024,East Midlands,under_1,0.37320574162679426,13.0
2024-04-22,2024,East Midlands,under_1,0.3643198906356801,13.0
2024-04-29,2024,East Midlands,under_1,0.359876965140123,13.0
2024-05-06,2024,East Midlands,under_1,0.3865345181134655,13.0
2024-05-13,2024,East Midlands,under_1,0.46206425153793573,13.0
2024-05-20,2024,East Midlands,under_1,0.4309637730690362,13.0
2024-05-27,2024,East Midlands,under_1,0.3154477101845523,13.0
2024-06-03,2024,East Midlands,under_1,0.34210526315789475,13.0
2024-06-10,2024,East Midlands,under_1,0.2576896787423103,13.0
2024-06-17,2024,East Midlands,under_1,0.35543403964456594,13.0
2024-06-24,2024,East Midlands,under_1,0.3243335611756664,13.0
2024-07-01,2024,East Midlands,under_1,0.34210526315789475,13.0
2024-07-08,2024,East Midlands,under_1,0.3865345181134655,13.0
2024-07-15,2024,East Midlands,under_1,0.37320574162679426,13.0
2024-07-22,2024,East Midlands,under_1,0.26657552973342447,13.0
2024-07-29,2024,East Midlands,under_1,0.297676008202324,13.0
2024-08-05,2024,East Midlands,under_1,0.23103212576896787,13.0
2024-08-12,2024,East Midlands,under_1,0.17771701982228297,13.0
2024-08-19,2024,East Midlands,under_1,0.1421736158578264,13.0
2024-08-26,2024,East Midlands,under_1,0.10218728639781272,13.0
2024-09-02,2024,East Midlands,under_1,0.12440191387559808,13.0
2024-09-09,2024,East Midlands,under_1,0.10218728639781272,13.0
2024-09-16,2024,East Midlands,under_1,0.10218728639781272,13.0
2024-09-23,2024,East Midlands,under_1,0.06220095693779904,13.0
2024-09-30,2024,East Midlands,under_1,0.07552973342447027,13.0
2024-10-07,2024,East Midlands,under_1,0.06220095693779904,13.0
2024-10-14,2024,East Midlands,under_1,0.05331510594668489,13.0
2024-10-21,2024,East Midlands,under_1,0.11995898838004102,13.0
2024-10-28,2024,East Midlands,under_1,0.07997265892002735,13.0
2024-11-04,2024,East Midlands,under_1,0.15105946684894053,13.0
2024-11-11,2024,East Midlands,under_1,0.12440191387559808,13.0
2024-11-18,2024,East Midlands,under_1,0.12884483937115515,13.0
2024-11-25,2024,East Midlands,under_1,0.12884483937115515,13.0
2024-12-02,2024,East Midlands,under_1,0.14661654135338345,13.0
2024-12-09,2024,East Midlands,under_1,0.11551606288448393,13.0
2024-12-16,2024,East Midlands,under_1,0.09774436090225563,13.0
2024-12-23,2024,East Midlands,under_1,0.0710868079289132,13.0
2024-12-30,2024,East Midlands,under_1,0.09774436090225563,13.0
2024-01-01,2024,East of England,11_to_14,0.4805194805194805,19.0
2024-01-08,2024,East of England,11_to_14,0.42207792207792205,19.0
2024-01-15,2024,East of England,11_to_14,0.34415584415584416,19.0
2024-01-22,2024,East of England,11_to_14,0.42207792207792205,19.0
2024-01-29,2024,East of England,11_to_14,0.45454545454545453,19.0
2024-02-05,2024,East of England,11_to_14,0.45454545454545453,19.0
2024-02-12,2024,East of England,11_to_14,0.461038961038961,19.0
2024-02-19,2024,East of England,11_to_14,0.37662337662337664,19.0
2024-02-26,2024,East of England,11_to_14,0.5064935064935064,19.0
2024-03-04,2024,East of England,11_to_14,0.37662337662337664,19.0
2024-03-11,2024,East of England,11_to_14,0.5714285714285714,19.0
2024-03-18,2024,East of England,11_to_14,0.5,19.0
2024-03-25,2024,East of England,11_to_14,0.4675324675324675,19.0
2024-04-01,2024,East of England,11_to_14,0.5844155844155844,19.0
2024-04-08,2024,East of England,11_to_14,0.6883116883116883,19.0
2024-04-15,2024,East of England,11_to_14,0.5454545454545454,19.0
2024-04-22,2024,East of England,11_to_14,0.5324675324675324,19.0
2024-04-29,2024,East of England,11_to_14,0.525974025974026,19.0
2024-05-06,2024,East of England,11_to_14,0.564935064935065,19.0
2024-05-13,2024,East of England,11_to_14,0.6753246753246753,19.0
2024-05-20,2024,East of England,11_to_14,0.6298701298701299,19.0
2024-05-27,2024,East of England,11_to_14,0.461038961038961,19.0
2024-06-03,2024,East of England,11_to_14,0.5,19.0
2024-06-10,2024,East of England,11_to_14,0.37662337662337664,19.0
2024-06-17,2024,East of England,11_to_14,0.5194805194805194,19.0
2024-06-24,2024,East of England,11_to_14,0.474025974025974,19.0
2024-07-01,2024,East of England,11_to_14,0.5,19.0
2024-07-08,2024,East of England,11_to_14,0.564935064935065,19.0
2024-07-15,2024,East of England,11_to_14,0.5454545454545454,19.0
2024-07-22,2024,East of England,11_to_14,0.38961038961038963,19.0
2024-07-29,2024,East of England,11_to_14,0.43506493506493504,19.0
2024-08-05,2024,East of England,11_to_14,0.33766233766233766,19.0
2024-08-12,2024,East of England,11_to_14,0.2597402597402597,19.0
2024-08-19,2024,East of England,11_to_14,0.2077922077922078,19.0
